Day	Month	Year	DomWater	MakeUpWater	LoopWater	TowerWater	Remainder
8 	 11 	 1996 	 169585 	 2040 	 0 	 0 	 167545
9 	 11 	 1996 	 147025 	 2030 	 0 	 0 	 144995
10 	 11 	 1996 	 144495 	 2210 	 0 	 0 	 142285
11 	 11 	 1996 	 144706 	 2810 	 0 	 0 	 141896
12 	 11 	 1996 	 180613 	 2740 	 0 	 0 	 177873
13 	 11 	 1996 	 130277 	 2510 	 0 	 0 	 127767
14 	 11 	 1996 	 174730 	 2530 	 0 	 0 	 172200
15 	 11 	 1996 	 165603 	 1810 	 0 	 0 	 163793
16 	 11 	 1996 	 139268 	 1140 	 0 	 0 	 138128
17 	 11 	 1996 	 147056 	 1770 	 0 	 0 	 145286
18 	 11 	 1996 	 145524 	 3600 	 0 	 0 	 141924
19 	 11 	 1996 	 155563 	 3530 	 0 	 0 	 152033
20 	 11 	 1996 	 163083 	 3340 	 0 	 0 	 159743
21 	 11 	 1996 	 158081 	 3250 	 0 	 0 	 154831
22 	 11 	 1996 	 144693 	 3030 	 0 	 0 	 141663
23 	 11 	 1996 	 128126 	 2800 	 0 	 0 	 125326
24 	 11 	 1996 	 41692 	 2130 	 0 	 0 	 39562
25 	 11 	 1996 	 24111 	 2150 	 0 	 0 	 21961
26 	 11 	 1996 	 37837080 	 2550 	 0 	 0 	 37834530
27 	 11 	 1996 	 16780 	 1800 	 0 	 0 	 14980
28 	 11 	 1996 	 20130 	 1650 	 0 	 0 	 18480
29 	 11 	 1996 	 28310 	 1060 	 0 	 0 	 27250
30 	 11 	 1996 	 27830 	 2400 	 0 	 0 	 25430
1 	 1 	 1997 	 15180 	 1750 	 0 	 0 	 13430
2 	 1 	 1997 	 40447 	 1730 	 0 	 0 	 38717
3 	 1 	 1997 	 59510 	 1770 	 0 	 0 	 57740
4 	 1 	 1997 	 37962 	 2130 	 0 	 0 	 35832
5 	 1 	 1997 	 46556 	 2560 	 0 	 0 	 43996
6 	 1 	 1997 	 138580 	 4760 	 0 	 0 	 133820
7 	 1 	 1997 	 204097 	 5250 	 0 	 0 	 198847
8 	 1 	 1997 	 139323 	 3680 	 70 	 0 	 135573
9 	 1 	 1997 	 170863 	 3730 	 0 	 0 	 167133
10 	 1 	 1997 	 143887 	 6590 	 0 	 0 	 137297
11 	 1 	 1997 	 141466 	 7880 	 0 	 0 	 133586
12 	 1 	 1997 	 149514 	 8900 	 0 	 0 	 140614
13 	 1 	 1997 	 158511 	 9050 	 0 	 0 	 149461
14 	 1 	 1997 	 171400 	 7310 	 0 	 0 	 164090
15 	 1 	 1997 	 148402 	 5400 	 0 	 0 	 143002
16 	 1 	 1997 	 157902 	 5720 	 0 	 0 	 152182
17 	 1 	 1997 	 165911 	 5940 	 0 	 0 	 159971
18 	 1 	 1997 	 145582 	 4020 	 0 	 0 	 141562
19 	 1 	 1997 	 136345 	 2220 	 0 	 0 	 134125
20 	 1 	 1997 	 161508 	 2620 	 0 	 0 	 158888
21 	 1 	 1997 	 155766 	 1960 	 0 	 0 	 153806
22 	 1 	 1997 	 151714 	 2540 	 0 	 0 	 149174
23 	 1 	 1997 	 164470 	 2560 	 0 	 0 	 161910
24 	 1 	 1997 	 171170 	 3640 	 0 	 0 	 167530
25 	 1 	 1997 	 147549 	 5050 	 0 	 0 	 142499
26 	 1 	 1997 	 97687 	 4650 	 0 	 0 	 93037
27 	 1 	 1997 	 155770 	 5000 	 0 	 0 	 150770
28 	 1 	 1997 	 183810 	 5220 	 0 	 0 	 178590
29 	 1 	 1997 	 139600 	 5340 	 0 	 0 	 134260
30 	 1 	 1997 	 164321 	 3080 	 0 	 0 	 161241
31 	 1 	 1997 	 156398 	 2870 	 0 	 0 	 153528
1 	 2 	 1997 	 127436 	 2520 	 0 	 0 	 124916
2 	 2 	 1997 	 138898 	 1950 	 0 	 0 	 136948
