Key            Name:Suffix                                Trend Definitions Used		BuildingName																
Point_1:	BURTON.YEST.STEAM.CONSUMP	Burton Hall																
Point_2:	COWLING.YEST.STEAM.CONSUMP	Cowling Recreation Center																
Point_3:	DAVIS.YEST.STEAM.CONSUMP	Davis Hall																
Point_4:	EVANS.YEST.STEAM.CONSUMP	Evans Hall																
Point_5:	GOODHUE.YEST.STEAM.CONSUMP	Goodhue Hall																
Point_6:	HULINGS.YEST.STEAM.CONSUMP	Hulings Hall																
Point_7:	LIBRARY.YEST.STEAM.CONSUMP	Gould Memorial Library																
Point_8:	MUDD.YEST.STEAM.CONSUMP	Mudd Hall of Science																
Point_9:	MUSSER.YEST.STEAM.CONSUMP	Musser Hall																
Point_10:	MYERS.YEST.STEAM.CONSUMP	Myers Hall																
Point_11:	NOURSE.YEST.STEAM.CONSUMP	Nourse Hall																
Point_12:	OLIN.YEST.STEAM.CONSUMP	Olin Hall of Science																
Point_13:	SAYLES.YEST.STEAM.CONSUMP	Sayles-Hill Campus Center																
Point_14:	SEVY.YEST.STEAM.CONSUMP	Severance Hall																
Point_15:	STHS.YEST.STEAM.CONSUMP	Student Houses																
Point_16:	WATSON.YEST.STEAM.CONSUMP	Watson Hall																
Point_17:	WEST.GYM.YEST.STEAM.CONSUMP	West Gymnasium																
Time Interval:	1 Days																	
Date Range:	7/1/2009 00:00:00 - 11/18/2011 23:59:59																	
Report Timings:	All Hours																	
																		
<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16	Point_17
7/27/09	0:00:00	0	No Data	No Data	No Data	305.88	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12953.68
7/28/09	0:00:00	0	No Data	No Data	No Data	156.24	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12110.96
7/29/09	0:00:00	0	No Data	No Data	No Data	156.24	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	11077.79
7/30/09	0:00:00	0	No Data	No Data	No Data	156.24	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	8928.58
7/31/09	0:00:00	0	No Data	No Data	No Data	280.23	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	9427.73
8/1/09	0:00:00	0	No Data	No Data	No Data	160.44	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	11841
8/2/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12869.82
8/3/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12869.82
8/4/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12108.37
8/5/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	152.92	0	6.39	43.92	No Data	No Data	12827.23
